# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 4.000000e-01
# lRef        : 1.600000e-06
# Aref        : 2.176000e-10
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	4.768831e+03	2.383879e+03	2.384952e+03	9.151711e-01	5.997183e-01	3.154529e-01	1.421327e-01	-5.361351e-01	-3.128242e+00	3.359007e-03	-3.126562e+00	3.129921e+00
2             	2.697268e+03	1.348747e+03	1.348521e+03	-1.056889e-01	4.455453e-02	-1.502434e-01	9.739895e-02	1.128901e-01	9.762828e-01	-4.535047e-02	9.536076e-01	-9.989580e-01
3             	1.611185e+03	8.056195e+02	8.055658e+02	-5.222535e-01	-1.751137e-01	-3.471398e-01	8.601309e-02	2.682471e-02	-1.236944e+00	-5.590374e-02	-1.264896e+00	1.208992e+00
4             	1.068026e+03	5.340763e+02	5.339494e+02	-2.474423e-01	-5.333124e-02	-1.941111e-01	7.038992e-02	6.348894e-02	-5.873690e-01	-4.949723e-02	-6.121176e-01	5.626203e-01
5             	8.541909e+02	4.271560e+02	4.270349e+02	-2.196592e-01	-5.568811e-02	-1.639711e-01	5.414147e-02	6.050451e-02	-6.139436e-01	-3.667619e-02	-6.322817e-01	5.956055e-01
6             	7.253545e+02	3.627301e+02	3.626244e+02	-1.198154e-01	-1.914703e-02	-1.006683e-01	4.076065e-02	5.286777e-02	-4.026952e-01	-2.827403e-02	-4.168323e-01	3.885582e-01
7             	6.521851e+02	3.261401e+02	3.260450e+02	-8.314013e-02	-1.015951e-02	-7.298062e-02	3.141056e-02	4.757899e-02	-3.130261e-01	-2.212477e-02	-3.240885e-01	3.019637e-01
8             	6.023159e+02	3.012000e+02	3.011159e+02	-5.860513e-02	-4.565482e-03	-5.403965e-02	2.473708e-02	4.205463e-02	-2.239466e-01	-1.876962e-02	-2.333314e-01	2.145618e-01
9             	5.667625e+02	2.834190e+02	2.833435e+02	-4.390898e-02	-2.090282e-03	-4.181870e-02	1.986421e-02	3.777259e-02	-1.749384e-01	-1.542373e-02	-1.826502e-01	1.672265e-01
10            	5.391511e+02	2.696099e+02	2.695412e+02	-3.647970e-02	-1.825968e-03	-3.465373e-02	1.641388e-02	3.435942e-02	-1.402128e-01	-1.361141e-02	-1.470185e-01	1.334071e-01
11            	5.168595e+02	2.584612e+02	2.583983e+02	-3.026134e-02	-1.396980e-03	-2.886436e-02	1.373369e-02	3.146520e-02	-1.175698e-01	-1.170890e-02	-1.234242e-01	1.117153e-01
12            	4.980946e+02	2.490764e+02	2.490182e+02	-2.513211e-02	-9.563805e-04	-2.417573e-02	1.160968e-02	2.912466e-02	-1.007696e-01	-1.053540e-02	-1.060373e-01	9.550195e-02
13            	4.819304e+02	2.409927e+02	2.409377e+02	-2.133686e-02	-7.150833e-04	-2.062178e-02	9.953347e-03	2.749464e-02	-8.741255e-02	-9.446556e-03	-9.213583e-02	8.268927e-02
14            	4.677907e+02	2.339210e+02	2.338697e+02	-1.780302e-02	-2.632010e-04	-1.753982e-02	8.638308e-03	2.567390e-02	-7.825107e-02	-8.749546e-03	-8.262585e-02	7.387630e-02
15            	4.552462e+02	2.276469e+02	2.275994e+02	-1.454754e-02	3.040670e-04	-1.485161e-02	7.577838e-03	2.375207e-02	-7.133443e-02	-7.912095e-03	-7.529048e-02	6.737839e-02
16            	4.440451e+02	2.220450e+02	2.220001e+02	-1.218652e-02	6.140940e-04	-1.280061e-02	6.707354e-03	2.247286e-02	-6.454756e-02	-7.484087e-03	-6.828960e-02	6.080551e-02
17            	4.339368e+02	2.169898e+02	2.169470e+02	-1.042224e-02	7.735409e-04	-1.119578e-02	5.984660e-03	2.139107e-02	-5.905460e-02	-6.835746e-03	-6.247248e-02	5.563673e-02
18            	4.245886e+02	2.123146e+02	2.122740e+02	-9.230042e-03	8.667102e-04	-1.009675e-02	5.481731e-03	2.030122e-02	-5.773921e-02	-6.596248e-03	-6.103733e-02	5.444108e-02
19            	4.160932e+02	2.080659e+02	2.080273e+02	-7.481456e-03	1.301249e-03	-8.782705e-03	5.041977e-03	1.929969e-02	-5.407174e-02	-6.093082e-03	-5.711828e-02	5.102520e-02
20            	4.082920e+02	2.041644e+02	2.041275e+02	-6.020837e-03	1.643317e-03	-7.664153e-03	4.653735e-03	1.844969e-02	-5.127882e-02	-5.945092e-03	-5.425137e-02	4.830628e-02
21            	4.011042e+02	2.005698e+02	2.005344e+02	-4.704602e-03	1.946359e-03	-6.650962e-03	4.298660e-03	1.770650e-02	-4.838014e-02	-5.493966e-03	-5.112712e-02	4.563315e-02
22            	3.944520e+02	1.972430e+02	1.972090e+02	-3.418716e-03	2.267877e-03	-5.686593e-03	3.977235e-03	1.698492e-02	-4.576137e-02	-5.417581e-03	-4.847016e-02	4.305258e-02
23            	3.882560e+02	1.941445e+02	1.941115e+02	-2.460870e-03	2.460485e-03	-4.921355e-03	3.690920e-03	1.650869e-02	-4.295389e-02	-5.030213e-03	-4.546899e-02	4.043878e-02
24            	3.824696e+02	1.912505e+02	1.912191e+02	-1.353785e-03	2.755878e-03	-4.109663e-03	3.432770e-03	1.571441e-02	-4.142540e-02	-5.003548e-03	-4.392717e-02	3.892363e-02
25            	3.770410e+02	1.885358e+02	1.885052e+02	-4.624472e-04	2.970396e-03	-3.432843e-03	3.201619e-03	1.530468e-02	-3.897064e-02	-4.654233e-03	-4.129775e-02	3.664352e-02
26            	3.719455e+02	1.859874e+02	1.859581e+02	4.459267e-04	3.215996e-03	-2.770070e-03	2.993033e-03	1.463596e-02	-3.774994e-02	-4.672597e-03	-4.008624e-02	3.541364e-02
27            	3.671418e+02	1.835851e+02	1.835567e+02	1.215135e-03	3.412596e-03	-2.197461e-03	2.805028e-03	1.417656e-02	-3.586908e-02	-4.350094e-03	-3.804413e-02	3.369403e-02
28            	3.626171e+02	1.813223e+02	1.812948e+02	1.884693e-03	3.577082e-03	-1.692389e-03	2.634735e-03	1.373495e-02	-3.443895e-02	-4.413042e-03	-3.664547e-02	3.223243e-02
29            	3.583318e+02	1.791792e+02	1.791525e+02	2.434151e-03	3.697640e-03	-1.263489e-03	2.480565e-03	1.333324e-02	-3.296084e-02	-4.111884e-03	-3.501678e-02	3.090489e-02
30            	3.542785e+02	1.771522e+02	1.771263e+02	3.181284e-03	3.930889e-03	-7.496052e-04	2.340247e-03	1.292569e-02	-3.170218e-02	-4.202256e-03	-3.380331e-02	2.960105e-02
31            	3.504233e+02	1.752242e+02	1.751991e+02	3.887995e-03	4.156500e-03	-2.685046e-04	2.212502e-03	1.256820e-02	-3.049083e-02	-3.921020e-03	-3.245134e-02	2.853032e-02
32            	3.467651e+02	1.733947e+02	1.733703e+02	4.642455e-03	4.417539e-03	2.249162e-04	2.096311e-03	1.219158e-02	-2.943157e-02	-4.033042e-03	-3.144809e-02	2.741505e-02
33            	3.432740e+02	1.716489e+02	1.716251e+02	5.097890e-03	4.537571e-03	5.603189e-04	1.988626e-03	1.186621e-02	-2.839964e-02	-3.768884e-03	-3.028408e-02	2.651519e-02
34            	3.399518e+02	1.699874e+02	1.699643e+02	5.581091e-03	4.680755e-03	9.003365e-04	1.890209e-03	1.153556e-02	-2.749448e-02	-3.897891e-03	-2.944343e-02	2.554554e-02
35            	3.367713e+02	1.683969e+02	1.683744e+02	5.915405e-03	4.757893e-03	1.157512e-03	1.800190e-03	1.124684e-02	-2.658401e-02	-3.648070e-03	-2.840804e-02	2.475997e-02
