# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	5.122540e-02	3	1.000000e+00	9.810160e-02	2	1.000000e+00	9.900340e-02	2	false	GAMG	1.000000e+00	7.451320e-03	9	true
2             	smoothSolver	9.803850e-02	8.352940e-03	6	4.943380e-01	4.330650e-02	6	4.196100e-01	3.999530e-02	9	false	GAMG	6.186050e-02	3.700830e-04	7	true
3             	smoothSolver	3.549290e-02	3.094920e-03	9	2.577460e-01	2.104600e-02	9	2.165390e-01	2.023830e-02	11	false	GAMG	3.944920e-02	2.352640e-04	9	true
4             	smoothSolver	1.953850e-02	1.881350e-03	9	1.287240e-01	1.267320e-02	9	1.406090e-01	1.151130e-02	11	false	GAMG	3.658940e-02	2.694840e-04	8	true
5             	smoothSolver	1.267490e-02	1.085890e-03	10	8.721260e-02	8.276170e-03	9	8.932010e-02	7.727530e-03	11	false	GAMG	3.842570e-02	3.582380e-04	7	true
6             	smoothSolver	8.977410e-03	8.760160e-04	10	5.911560e-02	5.083400e-03	10	6.380640e-02	5.981510e-03	11	false	GAMG	3.615790e-02	2.366020e-04	7	true
7             	smoothSolver	7.126220e-03	6.120550e-04	11	4.503240e-02	4.162700e-03	10	5.071900e-02	4.974650e-03	11	false	GAMG	2.874420e-02	2.611490e-04	6	true
8             	smoothSolver	6.111500e-03	5.455240e-04	11	3.662470e-02	3.597490e-03	10	4.332980e-02	3.554340e-03	12	false	GAMG	2.235450e-02	1.997820e-04	6	true
9             	smoothSolver	5.423190e-03	4.961560e-04	11	3.086170e-02	2.552540e-03	11	3.802980e-02	3.158310e-03	12	false	GAMG	1.873170e-02	1.561180e-04	6	true
10            	smoothSolver	4.907380e-03	4.574640e-04	11	2.661200e-02	2.243490e-03	11	3.401710e-02	2.841750e-03	12	false	GAMG	1.553800e-02	1.147230e-04	6	true
11            	smoothSolver	4.505320e-03	4.263050e-04	11	2.338930e-02	2.011120e-03	11	3.082590e-02	2.600220e-03	12	false	GAMG	1.344350e-02	7.622460e-05	6	true
12            	smoothSolver	4.183080e-03	4.002430e-04	11	2.095570e-02	1.822770e-03	11	2.830840e-02	2.400020e-03	12	false	GAMG	1.213840e-02	5.593120e-05	6	true
13            	smoothSolver	3.913970e-03	3.777200e-04	11	1.892310e-02	1.664770e-03	11	2.614890e-02	2.229780e-03	12	false	GAMG	1.110250e-02	1.000530e-04	5	true
14            	smoothSolver	3.680150e-03	3.582210e-04	11	1.724250e-02	1.530610e-03	11	2.435560e-02	2.082840e-03	12	false	GAMG	1.027220e-02	9.200390e-05	5	true
15            	smoothSolver	3.474140e-03	3.409870e-04	11	1.579480e-02	1.414290e-03	11	2.275280e-02	1.953910e-03	12	false	GAMG	9.478080e-03	4.747700e-05	6	true
16            	smoothSolver	3.291050e-03	3.257490e-04	11	1.452340e-02	1.313000e-03	11	2.141060e-02	1.842940e-03	12	false	GAMG	8.633350e-03	4.910190e-05	6	true
17            	smoothSolver	3.129580e-03	3.123080e-04	11	1.347420e-02	1.225190e-03	11	2.024870e-02	1.749090e-03	12	false	GAMG	7.833770e-03	4.432200e-05	6	true
18            	smoothSolver	2.985210e-03	2.447630e-04	12	1.251220e-02	1.147370e-03	11	1.924460e-02	1.665940e-03	12	false	GAMG	7.295270e-03	4.045310e-05	6	true
19            	smoothSolver	2.853740e-03	2.358570e-04	12	1.176560e-02	1.086490e-03	11	1.840810e-02	1.598510e-03	12	false	GAMG	6.569340e-03	3.462220e-05	6	true
20            	smoothSolver	2.735260e-03	2.277400e-04	12	1.102950e-02	1.025380e-03	11	1.762300e-02	1.531970e-03	12	false	GAMG	6.097270e-03	3.001730e-05	6	true
21            	smoothSolver	2.628180e-03	2.204160e-04	12	1.036020e-02	9.694610e-04	11	1.688290e-02	1.470670e-03	12	false	GAMG	5.694740e-03	2.691960e-05	6	true
22            	smoothSolver	2.531880e-03	2.137430e-04	12	9.775680e-03	9.190750e-04	11	1.622340e-02	1.414870e-03	12	false	GAMG	5.358890e-03	2.463730e-05	6	true
23            	smoothSolver	2.444270e-03	2.076440e-04	12	9.235250e-03	8.734270e-04	11	1.561670e-02	1.364370e-03	12	false	GAMG	5.047230e-03	5.042270e-05	5	true
24            	smoothSolver	2.365010e-03	2.020350e-04	12	8.758260e-03	8.321690e-04	11	1.507040e-02	1.317880e-03	12	false	GAMG	4.773980e-03	2.108690e-05	6	true
25            	smoothSolver	2.292870e-03	1.968620e-04	12	8.318310e-03	7.942720e-04	11	1.456900e-02	1.275940e-03	12	false	GAMG	4.505780e-03	4.432580e-05	5	true
26            	smoothSolver	2.227080e-03	1.920740e-04	12	7.921840e-03	7.599800e-04	11	1.410920e-02	1.236690e-03	12	false	GAMG	4.289380e-03	1.808720e-05	6	true
27            	smoothSolver	2.166680e-03	1.876090e-04	12	7.560200e-03	7.283320e-04	11	1.368550e-02	1.201100e-03	12	false	GAMG	4.076820e-03	1.679000e-05	6	true
28            	smoothSolver	2.111220e-03	1.834230e-04	12	7.226430e-03	6.993590e-04	11	1.329480e-02	1.167660e-03	12	false	GAMG	3.888260e-03	1.566680e-05	6	true
29            	smoothSolver	2.059590e-03	1.794900e-04	12	6.926850e-03	6.726850e-04	11	1.292770e-02	1.136740e-03	12	false	GAMG	3.719000e-03	1.461150e-05	6	true
30            	smoothSolver	2.011790e-03	1.757820e-04	12	6.645880e-03	6.479660e-04	11	1.259010e-02	1.107800e-03	12	false	GAMG	3.561840e-03	1.373880e-05	6	true
31            	smoothSolver	1.967090e-03	1.722830e-04	12	6.390000e-03	6.251840e-04	11	1.227150e-02	1.080920e-03	12	false	GAMG	3.415610e-03	1.295800e-05	6	true
32            	smoothSolver	1.925400e-03	1.689700e-04	12	6.152330e-03	6.040380e-04	11	1.197730e-02	1.055570e-03	12	false	GAMG	3.281730e-03	1.229840e-05	6	true
33            	smoothSolver	1.886050e-03	1.658330e-04	12	5.931300e-03	5.844000e-04	11	1.169680e-02	1.031900e-03	12	false	GAMG	3.149510e-03	1.157750e-05	6	true
34            	smoothSolver	1.849110e-03	1.628510e-04	12	5.729410e-03	5.661460e-04	11	1.143690e-02	1.009420e-03	12	false	GAMG	3.027810e-03	1.098180e-05	6	true
35            	smoothSolver	1.814080e-03	1.600170e-04	12	5.538620e-03	5.490890e-04	11	1.118840e-02	9.883700e-04	12	false	GAMG	2.912170e-03	1.041690e-05	6	true
36            	smoothSolver	1.781250e-03	1.573150e-04	12	5.362870e-03	5.332020e-04	11	1.095600e-02	9.682630e-04	12	false	GAMG	2.804390e-03	9.917880e-06	6	true
37            	smoothSolver	1.750040e-03	1.547360e-04	12	5.198540e-03	5.183490e-04	11	1.073320e-02	9.493510e-04	12	false	GAMG	2.704290e-03	9.455730e-06	6	true
38            	smoothSolver	1.720570e-03	1.522730e-04	12	5.045030e-03	5.044280e-04	11	1.052480e-02	9.312340e-04	12	false	GAMG	2.611320e-03	2.582210e-05	5	true
39            	smoothSolver	1.692370e-03	1.499150e-04	12	4.901240e-03	3.992660e-04	12	1.032260e-02	9.140090e-04	12	false	GAMG	2.594870e-03	2.442080e-05	5	true
40            	smoothSolver	1.665660e-03	1.476670e-04	12	4.724950e-03	3.857630e-04	12	1.011200e-02	8.954550e-04	12	false	GAMG	2.463720e-03	2.306410e-05	5	true
41            	smoothSolver	1.639990e-03	1.455110e-04	12	4.591780e-03	3.758720e-04	12	9.926660e-03	8.796820e-04	12	false	GAMG	2.381940e-03	2.186910e-05	5	true
42            	smoothSolver	1.615570e-03	1.434370e-04	12	4.473470e-03	3.670360e-04	12	9.755220e-03	8.647570e-04	12	false	GAMG	2.309870e-03	2.060180e-05	5	true
43            	smoothSolver	1.591980e-03	1.414440e-04	12	4.362930e-03	3.587710e-04	12	9.590650e-03	8.506160e-04	12	false	GAMG	2.244200e-03	1.952320e-05	5	true
44            	smoothSolver	1.569490e-03	1.395260e-04	12	4.258140e-03	3.509560e-04	12	9.434080e-03	8.369000e-04	12	false	GAMG	2.183730e-03	1.844060e-05	5	true
45            	smoothSolver	1.547830e-03	1.376790e-04	12	4.160580e-03	3.435800e-04	12	9.282220e-03	8.238800e-04	12	false	GAMG	2.126970e-03	1.754230e-05	5	true
46            	smoothSolver	1.527120e-03	1.359000e-04	12	4.069140e-03	3.366150e-04	12	9.138020e-03	8.112130e-04	12	false	GAMG	2.077130e-03	1.666030e-05	5	true
47            	smoothSolver	1.507070e-03	1.341840e-04	12	3.980380e-03	3.300010e-04	12	8.997570e-03	7.991430e-04	12	false	GAMG	2.027470e-03	1.592720e-05	5	true
48            	smoothSolver	1.487880e-03	1.325270e-04	12	3.899130e-03	3.237660e-04	12	8.863380e-03	7.873720e-04	12	false	GAMG	1.981800e-03	1.517980e-05	5	true
49            	smoothSolver	1.469240e-03	1.309290e-04	12	3.822780e-03	3.178790e-04	12	8.733510e-03	7.761340e-04	12	false	GAMG	1.938370e-03	1.456760e-05	5	true
50            	smoothSolver	1.451370e-03	1.293820e-04	12	3.750460e-03	3.123070e-04	12	8.608700e-03	7.651150e-04	12	false	GAMG	1.897730e-03	1.395550e-05	5	true
51            	smoothSolver	1.434010e-03	1.278860e-04	12	3.680140e-03	3.069770e-04	12	8.486870e-03	7.545860e-04	12	false	GAMG	1.855380e-03	1.347190e-05	5	true
52            	smoothSolver	1.417340e-03	1.264390e-04	12	3.613420e-03	3.018890e-04	12	8.369010e-03	7.442900e-04	12	false	GAMG	1.813580e-03	1.296870e-05	5	true
53            	smoothSolver	1.401090e-03	1.250370e-04	12	3.550530e-03	2.970500e-04	12	8.255330e-03	7.344560e-04	12	false	GAMG	1.772970e-03	1.256190e-05	5	true
